reviewId,film,rating,label,reviewText
rw5496472,film_1,6,moyen,I think this movie suffered from lack of a good script and bad acting.
rw1981386,film_1,5,moyen,"That was my interpretation of this weekend that I had to endure working at my movie theater, all these little hormone crazed brace wearing under developed young girls who I think would've just about died with the anticipation of seeing Twilight, I'm not kidding, I personally witnessed a twelve year old say that she wanted to have Robert Pattinson's baby. OK, so how I saw the movie, my sister, ironically my older sister has been just raving about the Twilight series with her friends and told me that I have to read these books, after weeks of bugging me with it, I finally broke down and read them. Actually it's kind of a fun series, it reminded me of the same love that I had for the TV series Buffy the vampire Slayer when I was a young teen. But of course she has to take me to the midnight premiere with 100,000 crazed fans who were knocking each other down and crawling all over each other just to see a movie.

Bella Swan has always been a little bit different, never caring about fitting in with the trendy girls at her Phoenix high school. When her mother remarries and sends Bella to live with her father in the rainy little town of Forks, Washington, she doesn't expect much of anything to change. Then she meets the mysterious and beautiful Edward Cullen. Intelligent and witty, he sees straight into her soul. Soon, Bella and Edward are swept up in a passionate and decidedly unorthodox romance. Edward can run faster than a mountain lion, he can stop a moving car with his bare hands - and he hasn't aged since 1918. Like all vampires, he's immortal. But he doesn't have fangs, and he doesn't drink human blood.

So, my opinion about Twilight the movie... honestly, it's average, it's my junior high romance with a vampire. I hate, beyond hate to say this, I'm a hypocrite for saying this, but because I read the book before I saw the movie, I had this completely different interpretation of what the characters look like and how they say certain lines. Twilight the movie made me laugh more than anything simply because of the actors, Robert and Kristen are not bad actors, but the way they talked, I just couldn't take their ""love"" seriously. Peter Facinelli who played Carlisle Cullen, Edward's father, was exactly how I pictured and pulled in the best performance of the film. Is it worth the watch, absolutely if you're a fan of the books, otherwise, I would say if you just wanna see this movie, I recommend the matinée price because honestly, I think I may have lost my hearing after this weekend of the none stop screams from crazed teens.

5/10"
rw1978788,film_1,4,moyen,"NOTE: This review is the fair and unbiased opinion of someone with extremely little knowledge of the Twilight series. I watched the movie with a few die hard fans who I talked to after the movie, and I will work some of their thoughts into the review.

Another much loved book series has been brought to life in the form of Twilight, which despite having nothing in common with the Harry Potter series, will undoubtedly draw comparisons because of the furor and craze surrounding it. The main difference between the two, however, is that the Harry Potter films are generally good and solid films. Twilight, despite having done a couple things right, is not.

As a story, I will admit, Twilight is very catchy and interesting. Now I see what all the hype is about. If I was a young girl, I would go nuts over this stuff too. It's not just a vampire and a human falling in love with each other, but because of the two leads, it's one of the best on screen romances of the decade. This, however, is severely hurt by the fact that Twilight boasts easily some of the worst writing and editing I've ever seen. Let's not forget about the horrid VFX and pasty makeup, either. It's one of the cheesiest films of the year, and can definitely be put in the category of ""so bad it's ALMOST good"". Yes, I just invented that category.

The 'allure' of the film appears to be the character played by Robert Pattinson, who ironically was previously known for his role in the Harry Potter series. Pattinson succeeded there and he more than succeeds again, as he more than fit the bill for what he needed to do with the character. Most actors would believe the only requirement of the character is to be good looking, but Pattinson takes it a step further and makes Edward Cullen very likable, trustworthy, and in the end, a good hero for the audience. Kristen Stewart is sort of the queen of not showing facial expressions, so she's perfect for the role of the awkward teen Bella Swann. However, there were sometimes where her lack of emotion bothered me.

Our supporting players...Well, none of them are noteworthy like Pattinson is. The villain of the film is lame, cheesy, and played by an actor I can't take seriously. Nikki Reed is probably the best as Rosalie, Edward's 'sister', and the antagonistic vibe felt from her adds a different side to the movie.

Okay, I don't really know what possessed the writer of this screenplay to make it so horrible (was it the source material?), because the dialog is just so bad that I laughed at serious moments. There's a lot of intentional humor, mostly in the beginning when Bella and Edward feel like awkward teens in love. I guess the movie moved along okay, because I wasn't bored at all. I was either laughing at how stupid the dialog was, laughing at some of the mildly funny jokes, or getting pulled in by the electric chemistry between Stewart and Pattinson.

That, folks, is the reason most people will be able to sit through this movie. The chemistry between the two leads, romantically and sexually, is amazing. In this respect, Pattinson and Stewart are perfectly cast and it makes me wonder if they could end up together in real life some day. I was very surprised by how much I liked seeing their one on one scenes, as cheesy and bad as the VFX and editing are.

As far as these visual effects go, I've seen a few vampire movies in my day. I'm going to assume director Catherine Hardwicke has seen a few. Well, she needs to watch a few more. Her fight scenes are horribly choreographed, terribly shot, and lack the intensity required to successfully rouse her audience. I could almost notice the wires the actors flew across on. I noticed a ton of errors with the editing as well, such as basic stuff like mouths moving and no words coming out, and words coming out when no mouths were moving. The fight scene at the end has wicked bad editing too, as the sound mixing also suffers as well.

All in all, with Twilight, as bad a movie as it may be, I couldn't help but stay interested in it because of the electric chemistry between the leads. That alone kept me in the seat the whole time. It is technically one of the worst films of the year, but the entertainment factor in the above respect keeps it out of the company of movies like Disaster Movie and College. I was actually lucky to see it with some of the fans of the book, and all of them (5) described the movie as a 'disappointment' and that the film went 'half way' with some subplots, either starting and dropping them, or randomly starting them halfway through an individual subplot. They were not happy at all with this movie, but agreed on one thing: Robert Pattinson was the perfect Edward Cullen. I'll agree with them on all those points and say that Twilight is exactly what I thought it would be: so bad it's ALMOST good."
rw5721464,film_1,7,moyen,"There's an atmosphere to Twilight and that much you simply cannot deny. I can't help but be engrossed by the way that this movie captures the beauty, dreariness and nature of the Pacific Northwest. A memorable score and soundtrack heighten Catherine Hardwicke's broody, yet still enchanting tone. Elliot Davis' cinematography under her direction replicates the indie flair prominent in her other features, this is what separates it apart from the commercially realised sequels that followed. It's a hot and cold, gothic romance with just enough high stakes to enchant you until the very end. If it's raining, you can best believe that I'm slipping into something comfortable and putting Twilight on."
rw2029119,film_1,3,negatif,"Now do not be offended by any of this, this is just my opinion.

No I am not a rabid Twilight hater. I read the books, yes all of them. I thought they were interesting. Not very original, well thought out, or well written, but decent enough to read. I had several problems with this movie. It's not just the cast. Though I think Cam Gigandet did an excellent job as James. Okay my main problem with the cast was not really who they picked. I guess it boils down to the fact that Bella and Edward really are not that interesting. Is it so much to ask for a heroine who isn't so whiney and can take care of herself. Or maybe a vampire who isn't broody and boring and doesn't SPRAKLE! ((sorry that just bugs the **** out of me)) I think if they had stuck more to the actually book it would have been better. Granted, not by much, but it would have at least gotten 5 stars from me.

I do like the cinematography. The movie is gorgeous visually, and as i stated before the acting was not terrible. I would have picked different people for most of the cast, but thats me. I do have one more thing to say before i end this.

RABID TWIlIGHT FANS NEED TO CALM DOWN!!! ITS JUST A BOOK AND MOVIE SERIES!! don't take the fact that people don't like it to heart. if you like it, thats great."
rw4273413,film_1,10,positif,"If I saw the movie now for the first time I know I probably will hate it, but the 11 year old me was so love struck with it. Honestly no movie these days makes me this happy anymore. Also I think this one (the first movie) is so much cinematically pleasing. I enjoy the dark blue rainy vibe &amp; the shaky camera a lot. This movie is my guilty pleasure. 10 for the nostalgia feelings."
rw9855925,film_1,7,moyen,"Twilight, directed by Catherine Hardwicke and based on the best-selling novel by Stephenie Meyer, is a 2008 romantic fantasy film that has garnered both passionate fans and vocal critics. Starring Kristen Stewart as Bella Swan and Robert Pattinson as Edward Cullen, the film explores the intense and forbidden romance between a teenage girl and a vampire.

Plot and Setting:
The story follows Bella Swan, a 17-year-old who moves to the small, rainy town of Forks, Washington, to live with her father. There, she becomes fascinated by the mysterious and alluring Edward Cullen, a student at her high school who turns out to be a vampire. As Bella and Edward fall deeply in love, they must navigate the dangers that come with their relationship, including the threat posed by other vampires.

Performances:
Kristen Stewart's portrayal of Bella is characterized by her understated and often introspective performance, which some viewers found relatable and genuine, while others perceived it as lackluster. Robert Pattinson brings a brooding intensity to Edward Cullen, capturing the character's internal struggle and romantic allure. Their on-screen chemistry, while sometimes awkward, effectively conveys the magnetic pull between their characters.

Direction and Cinematography:
Catherine Hardwicke's direction emphasizes the moody and atmospheric tone of the Pacific Northwest setting. The film's cinematography, with its muted color palette and frequent use of natural light, enhances the ethereal and otherworldly feel of the story. Notable scenes, such as the iconic meadow sequence and the thrilling baseball game, are visually striking and memorable.

Soundtrack and Score:
The film's soundtrack, featuring artists like Muse, Paramore, and Linkin Park, plays a significant role in establishing its emotional and youthful vibe. Carter Burwell's score, particularly the haunting ""Bella's Lullaby,"" complements the film's romantic and dramatic moments, adding depth to the narrative.

Themes and Reception:
Twilight explores themes of love, identity, and the struggle between desire and self-control. Its portrayal of a love that transcends the ordinary resonates with many viewers, particularly its target teenage audience. However, the film has also faced criticism for its portrayal of romance, with some arguing that it promotes an unhealthy dynamic and idealizes problematic behavior.

Cultural Impact:
Despite its polarizing reception, Twilight has had a significant cultural impact. It sparked a global phenomenon, leading to a successful film franchise, merchandise, and a dedicated fanbase. The film also played a pivotal role in the careers of Kristen Stewart and Robert Pattinson, propelling them to international stardom.

Conclusion:
Twilight is a film that elicits strong reactions, both positive and negative. Its blend of romance, fantasy, and teen drama struck a chord with a vast audience, making it a cultural touchstone of the late 2000s. While it may not be a cinematic masterpiece, its appeal lies in its ability to tap into the emotions and fantasies of its viewers. Whether you love it or loathe it, Twilight remains a significant entry in the landscape of young adult adaptations, leaving an indelible mark on pop culture."
rw5746449,film_1,8,positif,"This movie deserves an 8 purely for the soundtrack - one of the best movie sound tracks EVER (in my opinion) and beautiful scenery and cinematography. sure, the acting isn't great, nor is the script writing, however this movie is an enjoyable watch and a romance classic"
rw5995410,film_1,7,moyen,"This is awesome part of franchise ""Twilight"" because gteat atmosphere, cool soundtrack."
rw5532835,film_1,10,positif,"Perhaps I Have to tell something so that people who hate this film do understand why I review like this. My Dad died in 2008 when Twilight aired. I watched the movie again and again. And today, I still watch it again and again. I always have problems when I read a book and they made a movie of it. Because most of the time the movie just sucks. But not with the Twilight movies. They are like the books, and this without a big budget. So if you have a hard time and you need a simple but nice movie to watch to leave into another world. Please watch this."
